ID,English,Category,Notes
74,"""Add a category and press Enter"",sentences,
75,"""Add a new configuration rule"",settings,
76,"""Add a user"",auth,
77,"""Add account"",other,
78,"""Add address"",contacts,
79,"""Add address book"",contacts,
80,"""Add calendar category"",calendar,
81,"""Add contact category"",contacts,
82,"""Add description to calendar"",calendar,
83,"""Add email"",mail,
84,"""Add email address and press Enter"",mail,
85,"""Add event details"",calendar,
86,"""Add filter"",other,
87,"""Add instant messaging"",other,
88,"""Add location"",other,
89,"""Add mail category"",mail,
90,"""Add new custom domain"",sentences,
91,"""Add new rule"",other,
92,"""Add note"",other,
93,"""Add notification"",other,
94,"""Add participant"",other,
95,"""Add phone"",other,
96,"""Add reminder"",other,
97,"""Add subscriptions"",other,
98,"""Add to address book"",contacts,
99,"""Add your first contact to get started."",contacts,
100,"""Add your first filter"",sentences,
101,"""Additional CSS rules to inject (optional)"",sentences,
102,"""Additional WHERE conditions to add to the sql query. Example: 'active=1'"",sentences,
103,"""Additional bind fields"",other,
104,"""Additional bind fields to use. For example if you add 'mail' the bind will also have 'mail=<login>'"",mail,
105,"""Additional email addresses"",mail,
106,"""Additionnal Field to add when searching an user. Example 'name' will find user by their name"",auth,
107,"""Additionnal filter to use for LDAP queries.
Use '=', '!=', 'AND', 'OR' and the parenthesis. Example: '(objectClass='mailUser' OR objectClass!='mailGroup') AND accountStatus='active'"",mail,
108,"""Additionnal search field for resources"",sentences,
109,"""Address Book"",contacts,
110,"""Address Book Sharing"",contacts,
111,"""Address Books"",contacts,
112,"""Address book created"",contacts,
113,"""Address book deleted"",contacts,
114,"""Address book shared successfully"",contacts,
115,"""Address book updated"",contacts,
116,"""Address books"",contacts,
117,"""Addressbook name"",contacts,
118,"""Addresses"",contacts,
119,"""Admin"",other,
120,"""Administrator Panel"",other,
121,"""Advanced structure"",other,
122,"""Affected Domains"",other,
123,"""After"",other,
124,"""After authentication, use the user's DN to bind instead"",auth,
125,"""Agenda"",other,
126,"""Aggregate Reports Email"",mail,
127,"""All"",other,
128,"""All Devices"",other,
129,"""All Donors"",other,
130,"""All Systems Operational"",other,
131,"""All Volunteers"",other,
132,"""All calendars"",calendar,
133,"""All contacts"",contacts,
134,"""All day"",other,
135,"""All deleted messages have been permanently removed."",mail,
136,"""All events"",calendar,
137,"""All fields required"",other,
138,"""All mails"",mail,
139,"""All tasks"",tasks,
140,"""All-day event notifications"",calendar,
141,"""Allow Refresh Token Mechanism"",sentences,
142,"""Allow auto formard to external domain"",sentences,
143,"""Allow auto formard to sogo domain"",sentences,
144,"""Allow auto formard to user domain"",auth,
145,"""Allow auto forward"",other,
146,"""Allow login with username only (no @domain)."",auth,
147,"""Allow mail to ask for receipts"",mail,
148,"""Allow notification"",other,
149,"""Allow notification to external domain"",sentences,
150,"""Allow notification to sogo domain"",sentences,
151,"""Allow notification to user domain"",auth,
152,"""Allow pop-ups for this site to print messages."",mail,
153,"""Allow sending read receipts for certain messages"",mail,
154,"""Allow usage of external avatar"",sentences,
155,"""Allow user on desktop to use MAPI protocol"",auth,
156,"""Allow user on mobile to use ActiveSync protocol"",auth,
157,"""Allow user to create mail identities"",mail,
158,"""Allow user to set a password recovery method"",auth,
159,"""Allow user to set a vacation message that will be send everytime without grace period"",mail,
160,"""Allow user to set a vacation message. Use the 'vacation' sieve extension (rfc5230)"",mail,
161,"""Allow user to set automatic forward to addresses known by sogo"",contacts,
162,"""Allow user to set automatic forward to addresses within the same domain"",contacts,
163,"""Allow user to set automatic forward to external addresses"",contacts,
164,"""Allow user to set automatic forward. Use the 'redirect' sieve command"",auth,
165,"""Allow user to set custom 'From' in their identities"",auth,
166,"""Allow user to set custom 'Reply-to' in their identities"",auth,
167,"""Allow user to set custom Name in their identities"",auth,
168,"""Allow user to set external account"",auth,
169,"""Allow user to set mail's filters"",mail,
170,"""Allow user to set notification to addresses known by sogo"",contacts,
171,"""Allow user to set notification to addresses within the same domain"",contacts,
172,"""Allow user to set notification to external addresses"",contacts,
173,"""Allow user to set notification. Use the 'notify' sieve extension (rfc5435)"",auth,
174,"""Allow user to set preferences to use external avatar (gravatar, libravatar...)"",auth,
175,"""Allow user to set up a Multi-Factor Authentication"",auth,
176,"""Allow users to change their password from SOGo. Make sure that your User Source give the rights to users to make that action"",auth,
177,"""Allow users to log in without selecting a domain."",auth,
178,"""Allow vacation message"",mail,
179,"""Allow vacation message everytime"",mail,
180,"""Always ask opening compose in new window or inside webmail"",mail,
181,"""Always forward"",other,
182,"""Always send vacation message response"",mail,
183,"""Always use default identity for this account"",sentences,
184,"""An IMAP flag is required"",sentences,
185,"""An address book with this name already exists."",contacts,
186,"""An error occurred during the operation."",errors,
187,"""An error occurred while creating the folder. Please try again."",errors,
188,"""An error occurred while deleting the folder. Please try again."",errors,
189,"""An error occurred while discarding your draft. Please try again."",errors,
190,"""An error occurred while exporting the folder. Please try again."",errors,
191,"""An error occurred while expunging the folder. Please try again."",errors,
192,"""An error occurred while moving the folder. Please try again."",errors,
193,"""An error occurred while purging the folder. Please try again."",errors,
194,"""An error occurred while renaming the folder. Please try again."",errors,
195,"""An error occurred while saving your draft. Please try again."",errors,
196,"""An error occurred while saving your mail filters."",mail,
197,"""An error occurred while saving your mail forwarding settings."",mail,
198,"""An error occurred while saving your mail notification settings."",mail,
199,"""An error occurred while saving your vacation settings."",errors,
200,"""An error occurred while sending your email. Please try again."",mail,
201,"""An error occurred while updating sharing settings. Please try again."",errors,
202,"""An error occurred while updating the folder type. Please try again."",errors,
203,"""An error occurred while uploading your attachment. Please try again."",errors,
204,"""An error occurred. Please try again."",errors,
205,"""Analysis"",other,
206,"""Analysis Result"",other,
207,"""Analysis failed"",errors,
208,"""Analyze"",other,
209,"""Anniversary"",other,
210,"""Anomaly Detected!"",other,
211,"""Anomaly Detection"",other,
212,"""App Portal"",other,
213,"""App Settings"",settings,
214,"""Application Name"",other,
215,"""Apply Configuration"",settings,
216,"""Apply to subfolders"",other,
217,"""Applying..."",other,
218,"""Appointment Slots"",other,
219,"""Approval Steps"",sentences,
220,"""Approval Workflows"",other,
221,"""Approvals"",other,
222,"""Archive"",other,
223,"""Are you sure you want to delete ""{folder}""? It will be moved to Trash. If it is already in Trash, it will be permanently deleted."",actions,
224,"""Are you sure you want to delete address book {name}?"",contacts,
225,"""Are you sure you want to delete rule ""{name}""?"",actions,
226,"""Are you sure you want to delete this calendar? This action cannot be undone."",calendar,
227,"""Are you sure you want to delete this resource? Existing bookings will not be removed."",actions,
228,"""Are you sure you want to delete user {uid}?"",actions,
229,"""Are you sure you want to delete {name}? This action cannot be undone."",actions,
230,"""Are you sure you want to delete {number, plural, one {# contact} other {# contacts}}? This action cannot be undone."",contacts,
231,"""Are you sure you want to expunge ""{folder}""? All messages marked as deleted will be permanently removed. This action cannot be undone."",mail,
232,"""Are you sure you want to purge ""{folder}""? All deleted messages will be permanently removed. This action cannot be undone."",mail,
233,"""Are you sure you want to revoke all inactive sessions?"",sentences,
234,"""Are you sure you want to revoke the selected sessions?"",sentences,
235,"""Are you sure you want to revoke this session?"",sentences,
236,"""As attachment"",other,
237,"""As inline"",other,
238,"""Assign Shift"",other,
239,"""Assignee Email"",mail,
240,"""Associate contacts with accounts, track interactions, categorize contacts, and record notes."",contacts,
241,"""At least one action is required"",sentences,
242,"""At least one condition is required"",sentences,
243,"""At least one email address is required when forwarding is enabled."",mail,
244,"""At least one email address is required when notifications are enabled."",mail,
245,"""At least one participant is required"",sentences,
246,"""Attached: {name}"",other,
247,"""Attachment"",other,
248,"""Attachment upload failed"",errors,
249,"""Attachment uploaded"",other,
250,"""Attachments"",other,
251,"""Attendance update failed"",errors,
252,"""Attendance updated"",other,
253,"""Attendees"",other,
254,"""Attendees, from, and to dates are required"",sentences,
255,"""Attribute fields"",other,
256,"""Attributes fields return during search query. Default to '*' meaning all. Be careful as this can heavely affected SOGo behavior"",sentences,
257,"""Audit Log"",other,
258,"""Audit Trail"",other,
259,"""Authenticated successfully"",other,
260,"""Authenticating"",other,
261,"""Authentication Error"",errors,
262,"""Authentication mechanism for sieve. If None"",sentences,
263,"""Authentication type"",other,
264,"""Authentification settings"",settings,
265,"""Auto"",other,
266,"""Auto forward blacklist domains"",sentences,
267,"""Auto forward whitelist domains"",sentences,
268,"""Auto reply message"",mail,
269,"""Auto reply message is required when vacation is enabled."",mail,
270,"""Auto reply subject"",other,
271,"""Auto-accept bookings"",other,
272,"""Auto-create tickets from emails with assignment, priority, SLA tracking, and response history."",mail,
273,"""Auto-detect document type and suggest save, forward, or archive actions."",actions,
274,"""Auto-generated after certificate upload"",sentences,
275,"""Auto-label emails: newsletter, invoice, notification, social, personal."",mail,
276,"""Automatically forward incoming messages to one or more email addresses."",mail,
277,"""Automatically forward new messages to another email address"",mail,
278,"""Automatically organize incoming messages with custom rules. Filters run in order from top to bottom."",mail,
279,"""Automatically search and dissplay users in the Global Address Book when selected. Otherwise the user has to type in to trigger the search of type '.' to search for all."",contacts,
280,"""Available"",other,
281,"""Available Days"",other,
282,"""Back to list"",other,
283,"""Background"",other,
284,"""Backup"",other,
285,"""Backup Automation"",other,
286,"""Backup completed"",other,
287,"""Backup failed"",errors,
288,"""Base DN"",other,
289,"""Base DN of your users entry. If the mail's domain is in here, you can add '%d' to dynamically add it from user mail like this: 'ou=%d,dc=example,dc=com'"",mail,
290,"""Bcc"",other,
291,"""Bind DN"",other,
292,"""Bind DN password"",auth,
293,"""Bind as User"",auth,
294,"""Biometric Auth"",other,
295,"""Birthday"",other,
296,"""Block time after Maximum API request"",sentences,
297,"""Body"",other,
298,"""Booking Policy"",other,
299,"""Branding"",other,
300,"""Branding saved"",actions,
301,"""Bridge"",other,
302,"""Buffer (min)"",other,
303,"""Bulk User Management"",auth,
304,"""Bulk Users"",auth,
305,"""Busy"",other,
306,"""Busy Slots"",other,
307,"""By default, SOGo fetch the user profile to get the user's email. Uncheck this to get the email directly from the token. Uncheck this if you're using Microsoft's Active Directory Federation Service (AD FS)"",mail,
308,"""By default, usr can only logout from webmail. Check this setting to also logout from your OpenID server, meaning the user will be logout from all applications using the OpenID server. Only works if your OpenId has a end_session_endpoint"",mail,
309,"""CC"",other,
310,"""CN field"",other,
311,"""CRM"",other,
312,"""CRM-light"",other,
313,"""CSV Format"",other,
314,"""CSV file (.csv)"",other,
315,"""Calendar"",calendar,
316,"""Calendar Color"",calendar,
317,"""Calendar Event ID"",calendar,
318,"""Calendar Name"",calendar,
319,"""Calendar Sharing"",calendar,
320,"""Calendar URL (.ics)"",calendar,
321,"""Calendar and Contact settings"",calendar,
322,"""Calendar created"",calendar,
323,"""Calendar deleted"",calendar,
324,"""Calendar invitation"",calendar,
325,"""Calendar shared successfully"",calendar,
326,"""Calendar subscribed"",calendar,
327,"""Calendar synced"",calendar,
328,"""Calendar updated"",calendar,
329,"""Calendars"",calendar,
330,"""Campaign"",other,
331,"""Can Authenticate"",other,
332,"""Can Create"",other,
333,"""Can Preview"",other,
334,"""Cancel"",actions,
335,"""Cancel import"",actions,
336,"""Cancelled"",actions,
337,"""Cannot remove yourself"",other,
338,"""Capacity"",other,
339,"""CardDAV URL"",other,
340,"""Categories"",other,
341,"""Category"",other,
342,"""Cc"",other,
343,"""Certificate Fingerprint"",other,
344,"""Certificate Import Password"",auth,
345,"""Certificate Name"",other,
346,"""Certificate generated"",other,
347,"""Change password"",auth,
348,"""Change photo"",other,
349,"""Changing password…"",auth,
350,"""Chat Rooms"",other,
351,"""Check 'From'"",other,
352,"""Check Availability"",other,
353,"""Check YES if the password is store like this in the database {scheme)encryptedValue"",auth,
354,"""Check if the from is one of the user's mail (default, aliases, identities...) before requesting the outgoing mail server"",mail,
355,"""Check the box if this User Source has resources"",auth,
356,"""Check the box to allow user to logout from your sogo and the CAS server"",auth,
357,"""Checking..."",other,
358,"""Choose a contact or distribution list from the list to view details."",contacts,
359,"""Choose a domain..."",other,
360,"""Choose a new parent for ""{folder}""."",sentences,
361,"""Choose a source..."",other,
362,"""Choose a unique name for this User Source, it won't display to users"",auth,
363,"""Choose a user..."",auth,
364,"""Choose password recovery method available for users"",auth,
365,"""Choose the semantic type for ""{folder}""."",sentences,
366,"""Choose when this email should reappear in your inbox."",mail,
367,"""City"",other,
368,"""Classification Results"",other,
369,"""Classification failed"",errors,
370,"""Classify"",other,
371,"""Clear"",other,
372,"""Clear search"",other,
373,"""Click to upload CSV"",sentences,
374,"""Click to upload or drag a document"",sentences,
375,"""Client Credentials — Save Now"",actions,
376,"""Client registered"",other,
377,"""Close"",other,
378,"""Collabora/OnlyOffice URL"",other,
379,"""Collaborative Drafts"",other,
380,"""Color"",other,
381,"""Coming soon! Stay tuned."",sentences,
382,"""Comma-separated list of domain names. Leave empty for all domains."",sentences,
383,"""Company"",other,
384,"""Complete"",other,
385,"""Completed"",other,
386,"""Compliance Settings"",settings,
387,"""Compose"",other,
388,"""Compose email in a popup"",mail,
389,"""Compose email inside the webmail"",mail,
390,"""Compose mail window"",mail,
391,"""Compose message in"",mail,
392,"""Condition value is required"",sentences,
393,"""Conditions"",other,
394,"""Confidential"",other,
395,"""Config as Code"",settings,
396,"""Configuration"",settings,
397,"""Configuration JSON is empty"",settings,
398,"""Configuration as Code"",settings,
399,"""Configuration saved"",settings,
400,"""Configuration v{{version}} applied"",settings,
401,"""Configure a new external IMAP account"",settings,
402,"""Configure colors, logo, and custom CSS for the groupware interface"",settings,
403,"""Configure system-wide behaviour for the SOGo instance."",settings,
404,"""Configure your out-of-office auto reply message and when it should be active."",mail,
405,"""Confirm New Password"",auth,
406,"""Confirmed"",other,
407,"""Contact Auto-Enrichment"",contacts,
408,"""Contact Details"",contacts,
409,"""Contact Information"",contacts,
410,"""Contact created"",contacts,
411,"""Contact deleted"",contacts,
412,"""Contact moved"",contacts,
413,"""Contact type"",contacts,
414,"""Contact updated"",contacts,
415,"""Contacts"",contacts,
416,"""Contacts into this address book"",contacts,
417,"""Contains"",other,
418,"""Copied to clipboard"",other,
419,"""Copied!"",other,
420,"""Copied: {value}"",other,
421,"""Copy"",other,
422,"""Copy URL"",other,
423,"""Copy domain name"",other,
424,"""Copy email"",mail,
425,"""Copy failed"",errors,
426,"""Copy the message to"",mail,
427,"""Copy this link to subscribe to this calendar in other calendar applications."",calendar,
428,"""Corporate"",other,
429,"""Could not apply the label."",sentences,
430,"""Could not create the address book. Please try again."",contacts,
431,"""Could not create the contact. Please try again."",contacts,
432,"""Could not create the task. Please try again."",tasks,
433,"""Could not delete the address book. Please try again."",contacts,
434,"""Could not delete the contact. Please try again."",contacts,
435,"""Could not delete the task. Please try again."",tasks,
436,"""Could not load contact"",contacts,
437,"""Could not load contacts"",contacts,
438,"""Could not load forwarding settings. Please try again later."",settings,
439,"""Could not load mail filters. Please try again later."",mail,
440,"""Could not load notification settings. Please try again later."",settings,
441,"""Could not load vacation settings. Please try again later."",settings,
442,"""Could not mark this message as spam."",mail,
443,"""Could not move the contact. Please try again."",contacts,
444,"""Could not move this message."",mail,
445,"""Could not remove the label."",sentences,
446,"""Could not restore this message."",mail,
447,"""Could not save filters"",actions,
448,"""Could not save forwarding settings"",settings,
449,"""Could not save notification settings"",settings,
450,"""Could not save vacation settings"",settings,
451,"""Could not save. Please check the form and try again."",actions,
452,"""Could not update the address book. Please try again."",contacts,
453,"""Could not update the contact. Please try again."",contacts,
454,"""Could not update the task. Please try again."",tasks,
455,"""Couldn't save your changes, try again"",actions,
456,"""Country"",other,
457,"""Course Code"",other,
458,"""Create"",other,
459,"""Create 'When are you free?' polls to find the best meeting time for internal and external participants."",calendar,
460,"""Create Account"",other,
461,"""Create Action"",other,
462,"""Create Approval Workflow"",other,
463,"""Create Calendar"",calendar,
464,"""Create Event"",calendar,
465,"""Create Group"",other,
466,"""Create New Calendar"",calendar,
467,"""Create New User"",auth,
468,"""Create Poll"",other,
469,"""Create Quick Action"",other,
470,"""Create Room"",other,
471,"""Create Rule"",other,
472,"""Create Share Link"",other,
473,"""Create Shift"",other,
474,"""Create Slot"",other,
475,"""Create Ticket"",other,
476,"""Create Transcript"",other,
477,"""Create User"",auth,
478,"""Create Webhook"",other,
479,"""Create Workflow"",other,
480,"""Create a new address book"",contacts,
481,"""Create a new bookable resource."",sentences,
482,"""Create distribution list from selection"",sentences,
483,"""Create filter"",other,
484,"""Create folder if it does not exist"",sentences,
485,"""Create multi-step approval chains for purchase orders, announcements, and more."",sentences,
486,"""Create rules to automatically organize incoming messages."",mail,
487,"""Create shareable links for files with optional password protection, expiration, and download tracking."",auth,
488,"""Create your first task to get organized."",tasks,
489,"""Create, edit, and delete user accounts in the LDAP directory"",actions,
490,"""Creating..."",other,
491,"""Creation failed"",errors,
492,"""Current Configuration"",settings,
493,"""Current Password"",auth,
494,"""Current Schema Version"",other,
495,"""Current Usage"",other,
496,"""Custom CSS"",other,
497,"""Custom Theme"",other,
498,"""Custom date"",other,
499,"""Custom domains"",other,
500,"""Customize day and hour ranges independently and optionally combine them with specific weekdays to tailor your vacation filters to your preferences."",sentences,
501,"""Customize login page appearance per domain — logo, colors, CSS, header/footer text."",auth,
502,"""Customize the look and feel of the SOGo interface"",sentences,
503,"""DB Migration"",other,
504,"""DKIM"",other,
505,"""DKIM (DomainKeys Identified Mail) adds a digital signature to outgoing emails, allowing recipients to verify the message was not altered in transit."",mail,
506,"""DKIM Alignment"",other,
507,"""DMARC"",other,
508,"""DMARC (Domain-based Message Authentication, Reporting, and Conformance) tells receiving mail servers what to do when SPF or DKIM fails. Start with p=none to monitor, then move to quarantine or reject."",mail,
509,"""DNS Wizard"",other,
510,"""Daily"",other,
511,"""Dark"",other,
512,"""Database Migration"",other,
513,"""Database URL to your users table. Example: postgresql://sogo:sogo@127.0.0.1:5432/sogo/sogo_user"",auth,
514,"""Date"",other,
515,"""Date created"",other,
516,"""Date from"",other,
517,"""Date to"",other,
518,"""Date updated"",other,
519,"""Day"",other,
520,"""Day(s)"",other,
521,"""Days of inactivity"",other,
522,"""Days showed in calendar view"",calendar,
523,"""Debug Query"",other,
524,"""Decline"",other,
525,"""Declined"",other,
526,"""Default"",other,
527,"""Default Calendar chosen when creating a new event"",calendar,
528,"""Default Event Duration"",calendar,
529,"""Default View"",other,
530,"""Default classification for events"",calendar,
531,"""Default classification for journal entries"",sentences,
532,"""Default classification for tasks"",tasks,
533,"""Default compose opening behavior"",sentences,
534,"""Default font size"",other,
535,"""Default reminder for events"",calendar,
536,"""Default reminder for journal entries"",sentences,
537,"""Default reminder for tasks"",tasks,
538,"""Default text color"",other,
539,"""Define what modules are available among mail, calendar and contact"",mail,
540,"""Degraded"",other,
541,"""Delay Between Password Recovery"",auth,
542,"""Delay in seconds before a user ca nask for a password recovery again."",auth,
543,"""Delegate"",other,
544,"""Delete"",actions,
545,"""Delete Calendar"",calendar,
546,"""Delete Resource"",actions,
547,"""Delete Rule"",actions,
548,"""Delete account {email}"",mail,
549,"""Delete contact?"",contacts,
550,"""Delete distribution list?"",actions,
551,"""Delete event?"",calendar,
552,"""Delete filter?"",actions,
553,"""Delete folder"",actions,
554,"""Delete mails older than"",mail,
555,"""Delete message"",mail,
556,"""Delete recurring event"",calendar,
557,"""Delete selected contacts"",contacts,
558,"""Delete selected tasks?"",tasks,
559,"""Delete task?"",tasks,
560,"""Delete {name}"",actions,
561,"""Deletion failed"",errors,
562,"""Demo Version"",other,
563,"""Department"",other,
564,"""Description"",other,
565,"""Deselect"",other,
566,"""Deselect all"",other,
567,"""Deselect message"",mail,
568,"""Detail"",other,
569,"""Detected Signals"",other,
570,"""Detected filters"",other,
571,"""Deuteranopia"",other,
572,"""Device name (optional)"",other,
573,"""Device unregistered"",other,
574,"""Diagnostic tool for troubleshooting mail delivery issues. View raw email source or parsed headers."",mail,
575,"""Direct Login"",auth,
576,"""Disable Folder Export"",other,
577,"""Disable Folder Sharing"",other,
578,"""Disable Folder Sharing With Authenticated User"",auth,
579,"""Disabled"",other,
580,"""Discard draft"",other,
581,"""Discard the message"",mail,
582,"""Display Name"",other,
583,"""Display name"",other,
584,"""Display name of this user source, will be shown if the global address book list"",contacts,
585,"""Display remote inline images"",sentences,
586,"""Distribution list"",other,
587,"""Distribution lists"",other,
588,"""Distribution lists into this address book"",contacts,
589,"""Do no show inline images as attachment file in the mail viewer"",mail,
590,"""Do not send invitations for events created from CalDAV clients"",calendar,
591,"""Do you want to unsubscribe from this mailing list?"",mail,
592,"""Doc Preview"",other,
593,"""Document Hash"",other,
594,"""Document Preview"",other,
595,"""Document signed with QES"",sentences,
596,"""Does not contain"",other,
597,"""Does not exist"",other,
598,"""Does not match"",other,
599,"""Does not match regex"",sentences,
600,"""Domain"",other,
601,"""Domain is required"",other,
602,"""Domainless Login"",auth,
603,"""Domains"",other,
604,"""Don't have an account?"",sentences,
605,"""Donation recorded"",other,
606,"""Donations"",other,
607,"""Donor Communication Management"",other,
608,"""Donor Management"",other,
609,"""Donor registered"",other,
610,"""Download"",other,
611,"""Download JSON"",other,
612,"""Download all attachments"",other,
613,"""Download all users as a CSV file."",auth,
614,"""Download attachment"",other,
615,"""Download failed"",errors,
616,"""Download iOS - MacOS configuration profile"",settings,
617,"""Downloaded"",other,
618,"""Draft approved"",other,
619,"""Draft discarded"",other,
620,"""Draft rejected"",other,
621,"""Draft saved"",actions,
622,"""Draft shared"",other,
623,"""Drafts"",other,
624,"""Drag to reorder. Disabled filters are skipped."",sentences,
625,"""Drop files here"",other,
626,"""Due date"",other,
627,"""Due date must be on or after the start date."",sentences,
628,"""Duration"",other,
629,"""Duration (min)"",other,
630,"""Dyslexia"",other,
631,"""EU Regulation 910/2014 qualified electronic signatures and timestamps"",sentences,
632,"""Edit"",actions,
633,"""Edit Calendar"",calendar,
634,"""Edit External Account"",actions,
635,"""Edit Resource"",actions,
636,"""Edit Rule"",actions,
637,"""Edit User"",actions,
638,"""Edit account {email}"",mail,
639,"""Edit address book {name}"",contacts,
640,"""Edit contact"",contacts,
641,"""Edit distribution list"",actions,
642,"""Edit event"",calendar,
643,"""Edit filter: {name}"",actions,
644,"""Edit note"",actions,
645,"""Edit recurring event"",calendar,
646,"""Edit task"",tasks,
647,"""Email"",mail,
648,"""Email Address"",mail,
649,"""Email Body"",mail,
650,"""Email ID"",mail,
651,"""Email Protocol Status"",mail,
652,"""Email Signature"",mail,
653,"""Email Summarization"",mail,
654,"""Email Text"",mail,
655,"""Email address"",mail,
656,"""Email addresses"",mail,
657,"""Email addresses for forwarding"",mail,
658,"""Email addresses for notifications"",mail,
659,"""Email is required"",mail,
660,"""Email or password incorrect"",mail,
661,"""Email required"",mail,
662,"""Email snoozed"",mail,
663,"""Email to Score"",mail,
664,"""Embedded Matrix rooms, messaging, and SOGo user linking"",auth,
665,"""Empty folder"",other,
666,"""Enable Domains"",other,
667,"""Enable EAS Server"",other,
668,"""Enable End Session from OpenID server"",sentences,
669,"""Enable Identities"",other,
670,"""Enable MAPI Server"",other,
671,"""Enable MFA"",other,
672,"""Enable Notifications"",other,
673,"""Enable Password Change"",auth,
674,"""Enable Password Recovery"",auth,
675,"""Enable auto reply between these days"",sentences,
676,"""Enable auto reply between these hours"",sentences,
677,"""Enable auto reply on these days"",sentences,
678,"""Enable custom 'Name'"",other,
679,"""Enable custom 'Reply-to'"",other,
680,"""Enable custome 'From'"",other,
681,"""Enable external avatar"",other,
682,"""Enable external avatar (e.g., Gravatar)"",sentences,
683,"""Enable external mail account"",mail,
684,"""Enable logout with CAS"",sentences,
685,"""Enable mail filtering"",mail,
686,"""Enable mail notifications"",mail,
687,"""Enable multi-domain support for this instance."",sentences,
688,"""Enable purge"",other,
689,"""Enable vacation auto reply"",sentences,
690,"""Enabled"",other,
691,"""Encryption"",other,
692,"""Encryption at Rest"",other,
693,"""Encryption mechanism fo the IMAP server"",sentences,
694,"""Encryption mechanism fo the SMTP server"",sentences,
695,"""Encryption of the sieve server"",sentences,
696,"""End"",other,
697,"""End Time"",other,
698,"""End date"",other,
699,"""End date must be on or after the start date."",sentences,
700,"""End time"",other,
701,"""Ends"",other,
702,"""Ends with"",other,
703,"""Ensure your account is using a long, random password to stay secure."",auth,
704,"""Enter a filename"",other,
705,"""Enter a search query"",sentences,
706,"""Enter a search query above"",sentences,
707,"""Enter a valid email address"",mail,
708,"""Enter a valid size in KB"",sentences,
709,"""Enter at least 2 characters to search."",sentences,
710,"""Enter certificate import password"",auth,
711,"""Enter document content to sign..."",sentences,
712,"""Enter email content and click Score"",mail,
713,"""Enter email text"",mail,
714,"""Enter email text and select a tone"",mail,
715,"""Enter event title"",calendar,
716,"""Enter notification message"",mail,
717,"""Enter signature text and click Extract"",sentences,
718,"""Enter subject or body"",sentences,
719,"""Enter text"",other,
720,"""Enter text and click Classify"",sentences,
721,"""Enter text and click Summarize"",sentences,
722,"""Enter text to summarize"",sentences,
723,"""Enter the verification code generated by your authenticator app."",sentences,
724,"""Enter user email..."",mail,
725,"""Enter values and click Analyze"",sentences,
726,"""Enter your email"",mail,
727,"""Enter your password"",auth,
728,"""Equipment"",other,
729,"""Error"",errors,
730,"""Event Duration"",calendar,
731,"""Event Notifications"",calendar,
732,"""Event created"",calendar,
733,"""Event deleted"",calendar,
734,"""Event title"",calendar,
735,"""Event updated"",calendar,
736,"""Events"",calendar,
737,"""Every"",other,
738,"""Every {count}"",other,
739,"""Example: https://myopenid.net/.well-known/openid-configuration"",settings,
740,"""Exists"",other,
741,"""Expires in (days)"",other,
742,"""Export"",other,
743,"""Export CSV"",other,
744,"""Export Calendar"",calendar,
745,"""Export Users"",auth,
